epoch,total_loss,actual_spike_rate,spike_nonzero_count,spike_element_count,total_spike_count_per_image,active_oscillator_count_per_image,mean_dense,absolute_mean_dense,raw_spike_rate,weighted_spike_rate,raw_spike_smooth,weighted_spike_smooth,raw_spike_diversity,weighted_spike_diversity,raw_structural,weighted_structural,raw_sample_diversity,weighted_sample_diversity,raw_temporal_balance,weighted_temporal_balance,raw_spatial_compactness,weighted_spatial_compactness,raw_edge_membrane,weighted_edge_membrane,raw_dense_magnitude_loss,weighted_dense_magnitude_loss,raw_dendritic_cancellation_loss,weighted_dendritic_cancellation_loss
68,0.065104461,0.295254883,604682,2048000,604.682,94,-2.137632519,3.995256712,0.003169348,0.00063387,0.001182762,0,0.79459535,0,0.730633961,0.021919019,0.999991661,0.039999666,0.001328599,0,0.534035628,0,0.191141651,0.001911417,2.42E-05,1.21E-05,0.012567671,0.000628384
69,0.065044033,0.292803711,599662,2048000,599.662,94,-2.138749743,3.996217869,0.002931504,0.000586301,0.001176409,0,0.794498347,0,0.730546657,0.0219164,0.999991807,0.039999672,0.001316581,0,0.53279455,0,0.190729197,0.001907292,1.60E-05,8.00E-06,0.012527351,0.000626368
70,0.064999112,0.291259277,596499,2048000,596.499,94,-2.138862246,3.995146587,0.002739351,0.00054787,0.001167391,0,0.794411123,0,0.730467913,0.021914037,0.999990158,0.039999606,0.001307449,0,0.531717931,0,0.189884105,0.001898841,2.50E-05,1.25E-05,0.012525279,0.000626264
71,0.064947978,0.288981934,591835,2048000,591.835,94,-2.140106548,3.996390945,0.002556162,0.000511232,0.001159817,0,0.794329688,0,0.730393867,0.021911816,0.999993766,0.039999751,0.001297516,0,0.530710536,0,0.189267806,0.001892678,1.45E-05,7.23E-06,0.012505438,0.000625272
72,0.064887938,0.287936035,589693,2048000,589.693,93.931,-2.140714195,3.996359718,0.002370739,0.000474148,0.001152186,0,0.794250743,0,0.730320455,0.021909614,0.99998815,0.039999526,0.001284623,0,0.529641565,0,0.187194493,0.001871945,1.50E-05,7.48E-06,0.012504512,0.000625226
73,0.064867867,0.284478516,582612,2048000,582.612,92.178,-2.141075516,3.99580467,0.002276822,0.000455364,0.001142478,0,0.794148996,0,0.730226322,0.02190679,0.999991396,0.039999656,0.001280256,0,0.528753747,0,0.187054971,0.00187055,1.89E-05,9.44E-06,0.012521377,0.000626069
74,0.064823443,0.28304248,579671,2048000,579.671,92,-2.142022478,3.996499985,0.002096566,0.000419313,0.001134692,0,0.794046448,0,0.730128448,0.021903853,0.999990856,0.039999634,0.00126679,0,0.527869245,0,0.186771819,0.001867718,1.36E-05,6.81E-06,0.012522396,0.00062612
75,0.06477263,0.282214355,577975,2048000,577.975,91.892,-2.143084917,3.99751688,0.001933174,0.000386635,0.001127316,0,0.793905291,0,0.729993348,0.0218998,0.999993911,0.039999756,0.001251951,0,0.527050193,0,0.185828006,0.00185828,7.50E-06,3.75E-06,0.012488204,0.00062441
76,0.064741082,0.280666992,574806,2048000,574.806,90.434,-2.143317749,3.996829498,0.00183942,0.000367884,0.001119548,0,0.793679944,0,0.729779883,0.021893397,0.999992017,0.039999681,0.001237028,0,0.526478024,0,0.185171667,0.001851717,1.19E-05,5.97E-06,0.012448685,0.000622434
77,0.064679136,0.278180176,569713,2048000,569.713,90,-2.144297928,3.997671501,0.001694806,0.000338961,0.001113492,0,0.793341341,0,0.729460486,0.021883815,0.999993289,0.039999732,0.00121406,0,0.526057753,0,0.183354026,0.00183354,6.63E-06,3.31E-06,0.012395546,0.000619777
78,0.064618776,0.277240234,567788,2048000,567.788,90,-2.144777866,3.997463869,0.001592444,0.000318489,0.0011073,0,0.792868534,0,0.72901735,0.021870521,0.999989512,0.03999958,0.001193863,0,0.525730734,0,0.180710619,0.001807106,8.00E-06,4.00E-06,0.012381644,0.000619082
79,0.064548898,0.276460449,566191,2048000,566.191,90,-2.145749285,3.998257074,0.001464642,0.000292928,0.001100043,0,0.792363606,0,0.728545302,0.021856359,0.999994801,0.039999792,0.001171724,0,0.525129395,0,0.177985399,0.001779854,4.63E-06,2.32E-06,0.012353019,0.000617651
80,0.064492032,0.274845703,562884,2048000,562.884,90,-2.146216579,3.998087505,0.001341644,0.000268329,0.001092149,0,0.791922387,0,0.728133535,0.021844006,0.999984898,0.039999396,0.00114904,0,0.524450842,0,0.17635238,0.001763524,5.68E-06,2.84E-06,0.012278778,0.000613939
81,0.064462963,0.273088867,559286,2048000,559.286,90,-2.146301907,3.997112648,0.001265472,0.000253094,0.001085413,0,0.791538402,0,0.72777831,0.021833349,0.999994018,0.039999761,0.001133883,0,0.523848062,0,0.176160984,0.00176161,1.02E-05,5.12E-06,0.012200719,0.000610036
82,0.064411267,0.272203613,557473,2048000,557.473,90,-2.147280987,3.997992569,0.001159538,0.000231908,0.00108006,0,0.791211414,0,0.727475941,0.021824278,0.999989815,0.039999593,0.001115103,0,0.523284532,0,0.174707643,0.001747076,5.22E-06,2.61E-06,0.012116076,0.000605804
83,0.064374635,0.270222168,553415,2048000,553.415,90.064,-2.147541496,3.997350563,0.001100851,0.00022017,0.001078305,0,0.790910517,0,0.727197335,0.02181592,0.999988055,0.039999522,0.001100596,0,0.52292546,0,0.173284766,0.001732848,8.21E-06,4.11E-06,0.012041416,0.000602071
84,0.064334367,0.268979492,550870,2048000,550.87,90.685,-2.148310081,3.997779871,0.001010315,0.000202063,0.001074077,0,0.79064427,0,0.726950657,0.02180852,0.999991632,0.039999665,0.001081013,0,0.522477273,0,0.172352082,0.001723521,6.22E-06,3.11E-06,0.011949791,0.00059749
85,0.06428556,0.268062988,548993,2048000,548.993,91.174,-2.148983969,3.998003311,0.000904984,0.000180997,0.001071521,0,0.790317841,0,0.726645669,0.02179937,0.999994449,0.039999778,0.001061521,0,0.522027135,0,0.170943406,0.001709434,5.66E-06,2.83E-06,0.011863071,0.000593154
